,Quarter,Tm,Detail,CIN,ATL
0,1.0,Falcons,Greg Davis 27 yard field goal,0,3
1,1.0,Falcons,Mike Rozier 1 yard rush (Greg Davis kick),0,10
2,2.0,Bengals,James Brooks 6 yard rush (Jim Breech kick),7,10
3,2.0,Falcons,Floyd Dixon 3 yard pass from Chris Miller (Greg Davis kick),7,17
4,3.0,Falcons,Deion Sanders 79 yard punt return (Greg Davis kick),7,24
5,3.0,Bengals,Jim Breech 35 yard field goal,10,24
6,3.0,Falcons,Floyd Dixon 11 yard pass from Chris Miller (Greg Davis kick),10,31
7,4.0,Bengals,Eddie Brown 4 yard pass from Boomer Esiason (Jim Breech kick),17,31
8,4.0,Falcons,Steve Broussard 50 yard rush (Greg Davis kick),17,38
