,Quarter,Time,Tm,Detail,BAL,CIN
0,1.0,4:22,Ravens,Matt Stover 38 yard field goal,3,0
1,3.0,11:38,Bengals,Corey Dillon 1 yard pass from Jon Kitna (Neil Rackers kick),3,7
2,3.0,8:10,Bengals,Jon Kitna 2 yard rush (Neil Rackers kick),3,14
3,4.0,13:40,Ravens,Patrick Johnson 2 yard pass from Elvis Grbac (Matt Stover kick),10,14
4,4.0,6:04,Bengals,Takeo Spikes 66 yard interception return (Neil Rackers kick),10,21
