,Quarter,Time,Tm,Detail,RAM,CHI
0,1.0,,Rams,Chris Chandler 1 yard rush (Tony Zendejas kick),7,0
1,1.0,,Bears,Kevin Butler 41 yard field goal,7,3
2,2.0,,Rams,Tony Zendejas 18 yard field goal,10,3
3,2.0,,Bears,Keith Jennings 3 yard pass from Steve Walsh (Kevin Butler kick),10,10
4,2.0,,Bears,Raymont Harris 2 yard rush (Kevin Butler kick),10,17
5,3.0,,Bears,Kevin Butler 30 yard field goal,10,20
6,4.0,,Rams,Tony Zendejas 21 yard field goal,13,20
7,4.0,,Bears,Lewis Tillman 1 yard rush (Kevin Butler kick),13,27
