,Quarter,Time,Tm,Detail,NYJ,BUF
0,1.0,,Jets,Nick Lowery 25 yard field goal,3,0
1,1.0,,Bills,Andre Reed 3 yard pass from Jim Kelly (Steve Christie kick),3,7
2,2.0,,Bills,Andre Reed 22 yard pass from Jim Kelly (Steve Christie kick),3,14
3,2.0,,Bills,Steve Tasker 19 yard pass from Jim Kelly (Steve Christie kick),3,21
4,3.0,,Bills,Steve Tasker 18 yard pass from Todd Collins (Steve Christie kick),3,28
5,4.0,,Jets,Jeff Graham 8 yard pass from Frank Reich (Nick Lowery kick),10,28
6,4.0,10:48,Bills,Eric Moulds 97 yard kickoff return (Steve Christie kick),10,35
