,Quarter,Tm,Detail,PIT,HOU
0,1.0,Oilers,Alonzo Highsmith 3 yard pass from Warren Moon (Tony Zendejas kick),0,7
1,2.0,Oilers,Tony Zendejas 41 yard field goal,0,10
2,2.0,Oilers,Curtis Duncan 51 yard pass from Warren Moon (Tony Zendejas kick),0,17
3,2.0,Oilers,Alonzo Highsmith 5 yard pass from Warren Moon (Tony Zendejas kick),0,24
4,3.0,Oilers,Tony Zendejas 51 yard field goal,0,27
