,Quarter,Tm,Detail,CLE,MIN
0,1.0,Browns,Matt Stover 19 yard field goal,3,0
1,1.0,Browns,Kevin Mack 1 yard rush (Matt Stover kick),10,0
2,2.0,Browns,Matt Stover 30 yard field goal,13,0
3,3.0,Vikings,Fuad Reveiz 40 yard field goal,13,3
4,4.0,Vikings,Joe Johnson 3 yard pass from Sean Salisbury (Fuad Reveiz kick),13,10
5,4.0,Vikings,Audray McMillian 25 yard interception return (Fuad Reveiz kick),13,17
