,Quarter,Tm,Detail,MIA,DAL
0,1.0,Dolphins,Keith Byars 77 yard rush (Pete Stoyanovich kick),7,0
1,2.0,Cowboys,Kevin Williams 4 yard pass from Troy Aikman (Eddie Murray kick),7,7
2,2.0,Cowboys,Kevin Williams 64 yard punt return (Eddie Murray kick),7,14
3,3.0,Dolphins,Pete Stoyanovich 20 yard field goal,10,14
4,4.0,Dolphins,Pete Stoyanovich 31 yard field goal,13,14
5,4.0,Dolphins,Pete Stoyanovich 19 yard field goal,16,14
