,Quarter,Time,Tm,Detail,DET,WAS
0,1.0,9:23,Redskins,DeAngelo Hall 17 yard interception return (John Potter kick),0,7
1,1.0,5:14,Lions,Joique Bell 12 yard rush (David Akers kick),7,7
2,2.0,14:47,Lions,Joseph Fauria 5 yard pass from Matthew Stafford (David Akers kick),14,7
3,2.0,3:29,Redskins,Alfred Morris 30 yard rush (John Potter kick),14,14
4,2.0,0:44,Lions,David Akers 32 yard field goal,17,14
5,3.0,12:11,Redskins,John Potter 43 yard field goal,17,17
6,4.0,11:08,Lions,David Akers 28 yard field goal,20,17
7,4.0,3:56,Lions,Calvin Johnson 11 yard pass from Matthew Stafford (David Akers kick),27,17
8,4.0,1:40,Redskins,John Potter 21 yard field goal,27,20
