,Quarter,Tm,Detail,SFO,DET
0,2.0,49ers,Ray Wersching 25 yard field goal,3,0
1,2.0,Lions,Billy Sims 39 yard pass from Gary Danielson (Eddie Murray kick),3,7
2,2.0,Lions,Eddie Murray 29 yard field goal,3,10
3,4.0,49ers,Ricky Patton 1 yard rush (Ray Wersching kick),10,10
4,4.0,Lions,Horace King 17 yard pass from Gary Danielson (Eddie Murray kick),10,17
5,4.0,49ers,Freddie Solomon 21 yard pass from Joe Montana (Ray Wersching kick),17,17
6,4.0,Lions,Billy Sims 1 yard rush (Eddie Murray kick),17,24
