,Quarter,Tm,Detail,GNB,MIN
0,1.0,Vikings,Ted Brown 1 yard rush (Jan Stenerud kick),0,7
1,1.0,Packers,Al Del Greco 46 yard field goal,3,7
2,2.0,Packers,Al Del Greco 28 yard field goal,6,7
3,3.0,Vikings,Darrin Nelson 4 yard rush (Jan Stenerud kick),6,14
4,4.0,Vikings,Jan Stenerud 24 yard field goal,6,17
5,4.0,Packers,Gerry Ellis 1 yard rush (Al Del Greco kick),13,17
6,4.0,Packers,Eddie Lee Ivery 1 yard pass from Lynn Dickey (Al Del Greco kick),20,17
7,4.0,Packers,Mark Murphy 50 yard interception return (Al Del Greco kick),27,17
