,Quarter,Tm,Detail,SFO,DET
0,1.0,49ers,Joe Perry 1 yard rush (Gordie Soltau kick),7,0
1,1.0,Lions,Howard Cassady 81 yard pass from Gene Gedman (Jim Martin kick),7,7
2,1.0,Lions,Jim Gibbons 35 yard pass from Tobin Rote (Jim Martin kick),7,14
3,2.0,Lions,Gene Gedman 2 yard rush (Jim Martin kick),7,21
4,2.0,Lions,Dave Middleton 11 yard pass from Tobin Rote (Jim Martin kick),7,28
5,4.0,49ers,Joe Perry 2 yard rush (Gordie Soltau kick),14,28
6,4.0,Lions,Gene Gedman 24 yard pass from Tobin Rote (Jim Martin kick),14,35
7,4.0,49ers,Clyde Conner 11 yard pass from John Brodie (Gordie Soltau kick),21,35
