,Quarter,Tm,Detail,MIA,DET
0,1.0,Dolphins,Nat Moore 25 yard pass from Bob Griese (Uwe von Schamann kick),7,0
1,1.0,Dolphins,Jimmy Cefalo 29 yard pass from Bob Griese (Uwe von Schamann kick),14,0
2,2.0,Lions,Benny Ricardo 46 yard field goal,14,3
3,3.0,Dolphins,Larry Csonka 3 yard rush (Uwe von Schamann kick),21,3
4,4.0,Dolphins,Gary Davis 3 yard rush (Uwe von Schamann kick),28,3
5,4.0,Lions,Gene Washington 29 yard pass from Scott Hunter (Benny Ricardo kick),28,10
