,Quarter,Time,Tm,Detail,CHI,BAL
0,1.0,6:27,Bears,Paul Edinger 20 yard field goal,3,0
1,2.0,0:00,Ravens,Matt Stover 37 yard field goal,3,3
2,3.0,9:30,Bears,Paul Edinger 46 yard field goal,6,3
3,3.0,1:48,Ravens,Sam Gash 6 yard pass from Elvis Grbac (Matt Stover kick),6,10
4,4.0,2:36,Ravens,Terry Allen 1 yard rush (Matt Stover kick),6,17
