,Quarter,Tm,Detail,STL,NYG
0,2.0,Cardinals,Donny Anderson 8 yard pass from Jim Hart (Jim Bakken kick),7,0
1,2.0,Giants,Charlie Evans 1 yard rush (Pete Gogolak kick),7,7
2,2.0,Cardinals,Johnny Roland 5 yard rush (Jim Bakken kick),14,7
3,2.0,Cardinals,Johnny Roland 1 yard rush (Jim Bakken kick),21,7
4,3.0,Giants,Don Herrmann 16 yard pass from Norm Snead (Pete Gogolak kick),21,14
5,3.0,Giants,Spider Lockhart 29 yard interception return (Pete Gogolak kick),21,21
6,4.0,Giants,Pete Gogolak 16 yard field goal,21,24
7,4.0,Giants,Pete Gogolak 43 yard field goal,21,27
