,Quarter,Tm,Detail,NYG,PIT
0,1.0,Pirates,Whizzer White 4 yard rush (Armand Niccolai kick),0,7
1,1.0,Giants,Tuffy Leemans 1 yard rush,6,7
2,2.0,Pirates,Eggs Manske 23 yard pass from Frank Filchock (Armand Niccolai kick),6,14
3,2.0,Giants,Lee Shaffer 3 yard pass from Ed Danowski (Hank Soar kick),13,14
4,2.0,Giants,Lee Shaffer 11 yard pass from Ed Danowski (Ward Cuff kick),20,14
5,4.0,Giants,Hank Soar 1 yard rush (Ward Cuff kick),27,14
