,Quarter,Time,Tm,Detail,ARI,CAR
0,2.0,,Panthers,Pete Metzelaars 7 yard pass from Kerry Collins (John Kasay kick),0,7
1,2.0,,Panthers,Bob Christian 2 yard pass from Kerry Collins (John Kasay kick),0,14
2,2.0,,Cardinals,Aeneas Williams 72 yard blocked field goal return (Greg Davis kick),7,14
3,3.0,,Panthers,John Kasay 42 yard field goal,7,17
4,3.0,,Panthers,John Kasay 30 yard field goal,7,20
5,4.0,,Panthers,Anthony Johnson 23 yard rush (John Kasay kick),7,27
