,Quarter,Tm,Detail,MIA,HOU
0,1.0,Oilers,Skip Butler 43 yard field goal,0,3
1,2.0,Oilers,Skip Butler 25 yard field goal,0,6
2,2.0,Dolphins,Jim Mandich 26 yard pass from Bob Griese,6,6
3,3.0,Oilers,Billy Johnson 83 yard punt return (Skip Butler kick),6,13
4,3.0,Dolphins,Benny Malone 2 yard rush (Garo Yepremian kick),13,13
5,4.0,Dolphins,Don Nottingham 3 yard rush,19,13
6,4.0,Oilers,Ronnie Coleman 7 yard rush (Skip Butler kick),19,20
