,Quarter,Time,Tm,Detail,BUF,ATL
0,1.0,8:21,Falcons,Maurice Smith 1 yard rush (Jay Feely kick),0,7
1,1.0,7:02,Bills,Shawn Bryson 15 yard rush (Shayne Graham kick),7,7
2,1.0,2:18,Falcons,Jay Feely 35 yard field goal,7,10
3,2.0,6:23,Bills,Brandon Spoon 7 yard interception return (Shayne Graham kick),14,10
4,2.0,2:28,Falcons,Jay Feely 32 yard field goal,14,13
5,3.0,6:04,Falcons,Jay Feely 43 yard field goal,14,16
6,3.0,5:39,Bills,Shawn Bryson 68 yard rush (pass failed),20,16
7,3.0,1:40,Falcons,Tony Martin 63 yard pass from Chris Chandler (Jay Feely kick),20,23
8,4.0,11:56,Falcons,Alge Crumpler 49 yard pass from Chris Chandler (Jay Feely kick),20,30
9,4.0,3:55,Bills,Shayne Graham 28 yard field goal,23,30
10,4.0,0:48,Bills,Eric Moulds 3 yard pass from Alex Van Pelt (Shayne Graham kick),30,30
11,4.0,0:00,Falcons,Jay Feely 52 yard field goal,30,33
