,Quarter,Tm,Detail,NWE,MIA
0,2.0,Dolphins,Tony Franklin 27 yard field goal,0,3
1,2.0,Patriots,Jason Staurovsky 22 yard field goal,3,3
2,3.0,Patriots,Jason Staurovsky 34 yard field goal,6,3
