,Quarter,Time,Tm,Detail,DET,BAL
0,1.0,,Ravens,"Safety, Roberts penalized for holding in end zone",0,2
1,1.0,,Ravens,Priest Holmes 1 yard rush (Matt Stover kick),0,9
2,2.0,,Ravens,Roosevelt Potts 11 yard pass from Jim Harbaugh (Matt Stover kick),0,16
3,2.0,0:36,Lions,Jason Hanson 39 yard field goal,3,16
4,4.0,0:36,Lions,Cory Schlesinger 8 yard pass from Frank Reich (Jason Hanson kick),10,16
5,4.0,0:36,Ravens,Matt Stover 30 yard field goal,10,19
