,Quarter,Tm,Detail,PHI,NOR
0,1.0,Saints,Craig Heyward 1 yard rush (Morten Andersen kick),0,7
1,1.0,Eagles,Fred Barnett 57 yard pass from Randall Cunningham (Roger Ruzek kick),7,7
2,2.0,Saints,Morten Andersen 35 yard field goal,7,10
3,2.0,Saints,Quinn Early 7 yard pass from Bobby Hebert (Morten Andersen kick),7,17
4,3.0,Saints,Morten Andersen 42 yard field goal,7,20
5,3.0,Eagles,Roger Ruzek 40 yard field goal,10,20
6,4.0,Eagles,Fred Barnett 35 yard pass from Randall Cunningham (Roger Ruzek kick),17,20
7,4.0,Eagles,Heath Sherman 6 yard rush (Roger Ruzek kick),24,20
8,4.0,Eagles,"Safety, White sacked Hebert in end zone",26,20
9,4.0,Eagles,Roger Ruzek 39 yard field goal,29,20
10,4.0,Eagles,Eric Allen 18 yard interception return (Roger Ruzek kick),36,20
