,Quarter,Time,Tm,Detail,NOR,IND
0,1.0,7:29,Colts,Matt Stover 38 yard field goal,0,3
1,1.0,0:36,Colts,Pierre Garcon 19 yard pass from Peyton Manning (Matt Stover kick),0,10
2,2.0,9:34,Saints,Garrett Hartley 46 yard field goal,3,10
3,2.0,0:00,Saints,Garrett Hartley 44 yard field goal,6,10
4,3.0,11:41,Saints,Pierre Thomas 16 yard pass from Drew Brees (Garrett Hartley kick),13,10
5,3.0,6:15,Colts,Joseph Addai 4 yard rush (Matt Stover kick),13,17
6,3.0,2:01,Saints,Garrett Hartley 47 yard field goal,16,17
7,4.0,5:42,Saints,Jeremy Shockey 2 yard pass from Drew Brees (Lance Moore pass from Drew Brees),24,17
8,4.0,3:12,Saints,Tracy Porter 74 yard interception return (Garrett Hartley kick),31,17
