,Quarter,Tm,Detail,CRD,GNB
0,1.0,Packers,Gary Knafelc 25 yard pass from Tobin Rote (Fred Cone kick),0,7
1,2.0,Packers,Billy Howton 15 yard pass from Tobin Rote (Fred Cone kick),0,14
2,2.0,Packers,Tobin Rote 1 yard rush (Fred Cone kick),0,21
3,2.0,Packers,Fred Cone 42 yard field goal,0,24
4,3.0,Packers,Al Carmichael 15 yard pass from Tobin Rote (Fred Cone kick),0,31
5,4.0,Cardinals,Mal Hammack 1 yard rush (Pat Summerall kick),7,31
6,4.0,Cardinals,Night Train Lane 98 yard pass from Ogden Compton (Pat Summerall kick),14,31
