,Quarter,Tm,Detail,MIA,HOU
0,1.0,Dolphins,Garo Yepremian 31 yard field goal,3,0
1,1.0,Oilers,Roy Gerela 10 yard field goal,3,3
2,2.0,Dolphins,Jim Mandich 3 yard pass from Bob Griese (Garo Yepremian kick),10,3
3,3.0,Dolphins,Howard Twilley 5 yard pass from Bob Griese (Garo Yepremian kick),17,3
4,4.0,Dolphins,Garo Yepremian 42 yard field goal,20,3
5,4.0,Oilers,Hoyle Granger 9 yard rush (Roy Gerela kick),20,10
