,Quarter,Time,Tm,Detail,NOR,TAM
0,1.0,5:25,Buccaneers,Cadillac Williams 1 yard rush (Matt Bryant kick),0,7
1,2.0,13:09,Buccaneers,Joey Galloway 69 yard pass from Jeff Garcia (Matt Bryant kick),0,14
2,2.0,1:05,Buccaneers,Joey Galloway 24 yard pass from Jeff Garcia (Matt Bryant kick),0,21
3,3.0,4:26,Buccaneers,Cadillac Williams 1 yard rush (Matt Bryant kick),0,28
4,3.0,0:49,Saints,Mike Karney 1 yard rush (Olindo Mare kick),7,28
5,4.0,7:30,Buccaneers,Matt Bryant 27 yard field goal,7,31
6,4.0,2:50,Saints,Marques Colston 4 yard pass from Drew Brees (Olindo Mare kick),14,31
