,Quarter,Tm,Detail,SDG,WAS
0,1.0,Redskins,Verlon Biggs 2 yard defensive fumble return (Curt Knight kick),0,7
1,1.0,Redskins,Larry Brown 1 yard rush (Curt Knight kick),0,14
2,1.0,Redskins,Brig Owens 36 yard defensive fumble return (Curt Knight kick),0,21
3,3.0,Redskins,Charley Taylor 32 yard pass from Billy Kilmer (Curt Knight kick),0,28
4,4.0,Redskins,Curt Knight 19 yard field goal,0,31
5,4.0,Redskins,Frank Grant 12 yard pass from Billy Kilmer (Curt Knight kick),0,38
