,Quarter,Tm,Detail,DET,PHO
0,2.0,Cardinals,Eric Blount 6 yard rush (Greg Davis kick),0,7
1,2.0,Lions,Herman Moore 6 yard pass from Erik Kramer (Jason Hanson kick),7,7
2,3.0,Cardinals,Ronald Moore 1 yard rush (Greg Davis kick),7,14
3,3.0,Lions,Rodney Holman 28 yard pass from Erik Kramer (Jason Hanson kick),14,14
4,4.0,Lions,Willie Green 43 yard pass from Erik Kramer (Jason Hanson kick),21,14
