,Quarter,Tm,Detail,DET,DAL
0,2.0,Cowboys,Frank Clarke 11 yard pass from Don Meredith (Sam Baker kick),0,7
1,4.0,Cowboys,Sam Baker 13 yard field goal,0,10
2,4.0,Lions,Gail Cogdill 30 yard pass from Earl Morrall (Wayne Walker kick),7,10
3,4.0,Cowboys,Amos Marsh 41 yard rush (Sam Baker kick),7,17
4,4.0,Lions,Gail Cogdill 70 yard pass from Earl Morrall (Wayne Walker kick),14,17
