,Quarter,Tm,Detail,DET,WAS
0,1.0,Lions,Eddie Murray 33 yard field goal,3,0
1,1.0,Redskins,Mark Moseley 24 yard field goal,3,3
2,2.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),3,10
3,2.0,Redskins,John Riggins 21 yard rush (Mark Moseley kick),3,17
4,3.0,Redskins,John Riggins 5 yard rush (Mark Moseley kick),3,24
