,Quarter,Tm,Detail,ATL,DAL
0,1.0,Cowboys,Michael Irvin 58 yard pass from Steve Beuerlein (Ken Willis kick),0,7
1,1.0,Falcons,Michael Haynes 67 yard pass from Chris Miller (Norm Johnson kick),7,7
2,1.0,Cowboys,Emmitt Smith 4 yard rush (Ken Willis kick),7,14
3,1.0,Falcons,Andre Rison 28 yard pass from Chris Miller (Norm Johnson kick),14,14
4,1.0,Cowboys,Alexander Wright 102 yard kickoff return (Ken Willis kick),14,21
5,2.0,Cowboys,Ken Willis 20 yard field goal,14,24
6,2.0,Falcons,Norm Johnson 25 yard field goal,17,24
7,3.0,Falcons,Norm Johnson 29 yard field goal,20,24
8,3.0,Falcons,Michael Haynes 43 yard pass from Chris Miller (Norm Johnson kick),27,24
9,4.0,Cowboys,Emmitt Smith 6 yard rush (Ken Willis kick),27,31
