,Quarter,Tm,Detail,ATL,DAL
0,1.0,Falcons,Floyd Dixon 28 yard pass from Scott Campbell (Mick Luckhurst kick),7,0
1,1.0,Falcons,Robert Moore 20 yard special teams fumble return (Mick Luckhurst kick),14,0
2,1.0,Cowboys,Roger Ruzek 44 yard field goal,14,3
3,2.0,Cowboys,Herschel Walker 1 yard rush (Roger Ruzek kick),14,10
4,3.0,Falcons,Scott Campbell 1 yard rush (Mick Luckhurst kick),21,10
