,Quarter,Time,Tm,Detail,IND,NYJ
0,2.0,,Colts,Cary Blanchard 38 yard field goal,3,0
1,2.0,,Colts,Cary Blanchard 20 yard field goal,6,0
2,2.0,,Colts,Zack Crockett 2 yard rush (pass failed),12,0
3,3.0,,Colts,Cary Blanchard 42 yard field goal,15,0
4,4.0,3:01,Colts,Marshall Faulk 2 yard rush (Cary Blanchard kick),22,0
5,4.0,3:01,Jets,Alex Van Dyke 17 yard pass from Neil O'Donnell (John Hall kick),22,7
6,4.0,1:39,Jets,Alex Van Dyke 18 yard pass from Neil O'Donnell (John Hall kick),22,14
