,Quarter,Tm,Detail,BAL,BUF
0,1.0,Colts,Norm Bulaich 30 yard pass from Earl Morrall (Jim O'Brien kick),7,0
1,1.0,Colts,Norm Bulaich 1 yard rush (Jim O'Brien kick),14,0
2,2.0,Colts,Jim O'Brien 42 yard field goal,17,0
3,2.0,Colts,"Safety, Bills called for holding in end zone",19,0
4,2.0,Colts,Jim O'Brien 28 yard field goal,22,0
5,4.0,Colts,Don Nottingham 36 yard rush (Jim O'Brien kick),29,0
6,4.0,Colts,Don McCauley 1 yard rush (Jim O'Brien kick),36,0
7,4.0,Colts,Don McCauley 3 yard rush (Jim O'Brien kick),43,0
