,Quarter,Tm,Detail,NWE,MIA
0,2.0,Dolphins,Jim Mandich 16 yard pass from Bob Griese (Garo Yepremian kick),0,7
1,2.0,Dolphins,Garo Yepremian 47 yard field goal,0,10
2,2.0,Patriots,John Smith 43 yard field goal,3,10
