,Quarter,Tm,Detail,KAN,SEA
0,1.0,Chiefs,Ted McKnight 2 yard rush (Nick Lowery kick),7,0
1,2.0,Chiefs,Bill Kenney 1 yard rush (Nick Lowery kick),14,0
2,2.0,Chiefs,Nick Lowery 30 yard field goal,17,0
3,2.0,Chiefs,Nick Lowery 38 yard field goal,20,0
4,2.0,Seahawks,Sam McCullum 11 yard pass from Jim Zorn (Efren Herrera kick),20,7
5,3.0,Seahawks,Sherman Smith 2 yard rush (Efren Herrera kick),20,14
