,Quarter,Tm,Detail,CLE,BUF
0,1.0,Browns,Matt Bahr 28 yard field goal,3,0
1,2.0,Bills,Chris Keating 34 yard defensive fumble return (Chuck Nelson kick),3,7
2,2.0,Browns,Matt Bahr 36 yard field goal,6,7
3,3.0,Bills,Chuck Nelson 42 yard field goal,6,10
4,4.0,Browns,Earnest Byner 55 yard offensive fumble return (Matt Bahr kick),13,10
