,Quarter,Tm,Detail,SFO,DEN
0,1.0,Broncos,Gene Lang 3 yard pass from John Elway (Rich Karlis kick),0,7
1,2.0,49ers,Ray Wersching 26 yard field goal,3,7
2,2.0,Broncos,Steve Watson 6 yard pass from John Elway (Rich Karlis kick),3,14
3,3.0,49ers,Mike Wilson 13 yard pass from Joe Montana (Ray Wersching kick),10,14
4,3.0,49ers,Ray Wersching 22 yard field goal,13,14
5,4.0,49ers,Ray Wersching 45 yard field goal,16,14
6,4.0,Broncos,Rich Karlis 24 yard field goal,16,17
