,Quarter,Time,Tm,Detail,IND,CLE
0,1.0,10:27,Browns,Cody Parkey 24 yard field goal,0,3
1,1.0,6:04,Colts,Jonathan Taylor 4 yard rush (Rodrigo Blankenship kick),7,3
2,2.0,14:13,Browns,Kareem Hunt 2 yard pass from Baker Mayfield (Cody Parkey kick),7,10
3,2.0,10:18,Colts,Rodrigo Blankenship 32 yard field goal,10,10
4,2.0,6:03,Browns,Rashard Higgins 15 yard pass from Baker Mayfield (Cody Parkey kick),10,17
5,2.0,0:17,Browns,Cody Parkey 36 yard field goal,10,20
6,3.0,12:26,Browns,Ronnie Harrison 47 yard interception return (Cody Parkey kick),10,27
7,3.0,12:15,Colts,Isaiah Rodgers 101 yard kickoff return (Rodrigo Blankenship kick),17,27
8,3.0,4:02,Colts,Rodrigo Blankenship 37 yard field goal,20,27
9,4.0,14:44,Browns,"Safety, Philip Rivers Intentional Grounding in end zone",20,29
10,4.0,2:54,Colts,Rodrigo Blankenship 25 yard field goal,23,29
11,4.0,0:25,Browns,Cody Parkey 46 yard field goal,23,32
