,Quarter,Tm,Detail,SDG,OAK
0,1.0,Raiders,"Safety, Dennery tackled Partee in end zone",0,2
1,2.0,Raiders,Pete Banaszak 1 yard rush (George Blanda kick),0,9
2,3.0,Raiders,Cliff Branch 45 yard pass from Ken Stabler (George Blanda kick),0,16
3,3.0,Raiders,Pete Banaszak 2 yard rush (George Blanda kick),0,23
4,4.0,Raiders,"Safety, Hendricks tackled Freitas in end zone",0,25
