,Quarter,Time,Tm,Detail,CHI,MIA
0,1.0,3:48,Bears,Robbie Gould 46 yard field goal,3,0
1,2.0,10:27,Bears,Robbie Gould 24 yard field goal,6,0
2,3.0,11:47,Bears,Robbie Gould 50 yard field goal,9,0
3,3.0,1:57,Bears,Matt Forte 2 yard rush (Robbie Gould kick),16,0
