,Quarter,Tm,Detail,DEN,CIN
0,1.0,Broncos,Al Denson 39 yard pass from Steve Tensi (Bobby Howfield kick),7,0
1,1.0,Broncos,Bobby Howfield 12 yard field goal,10,0
2,1.0,Broncos,Bobby Howfield 23 yard field goal,13,0
3,2.0,Broncos,Bobby Howfield 45 yard field goal,16,0
4,2.0,Bengals,Speedy Thomas 29 yard pass from Sam Wyche,16,6
5,2.0,Broncos,Floyd Little 48 yard rush (Bobby Howfield kick),23,6
6,2.0,Broncos,Mike Haffner 12 yard pass from Steve Tensi (Bobby Howfield kick),30,6
7,3.0,Bengals,Bob Trumpy 23 yard pass from Sam Wyche (Horst Muhlmann kick),30,13
8,3.0,Bengals,Eric Crabtree 8 yard pass from Sam Wyche (Horst Muhlmann kick),30,20
9,4.0,Bengals,Horst Muhlmann 10 yard field goal,30,23
