,Quarter,Tm,Detail,CHI,PHI
0,1.0,Eagles,Harold Carmichael 17 yard pass from Ron Jaworski (Tony Franklin kick),0,7
1,1.0,Bears,Walter Payton 2 yard rush (Bob Thomas kick),7,7
2,2.0,Eagles,Tony Franklin 29 yard field goal,7,10
3,2.0,Bears,Walter Payton 1 yard rush (Bob Thomas kick),14,10
4,2.0,Bears,Bob Thomas 30 yard field goal,17,10
5,3.0,Eagles,Harold Carmichael 29 yard pass from Ron Jaworski (Tony Franklin kick),17,17
6,4.0,Eagles,Billy Campfield 63 yard pass from Ron Jaworski (Tony Franklin kick),17,24
7,4.0,Eagles,Tony Franklin 34 yard field goal,17,27
