,Quarter,Tm,Detail,DEN,PHI
0,1.0,Eagles,Happy Feller 27 yard field goal,0,3
1,2.0,Eagles,Ben Hawkins 18 yard pass from Rick Arrington (Happy Feller kick),0,10
2,2.0,Broncos,Floyd Little 1 yard rush (Jim Turner kick),7,10
3,2.0,Eagles,Bill Hobbs 6 yard blocked punt return (Happy Feller kick),7,17
4,3.0,Broncos,Jim Turner 37 yard field goal,10,17
5,3.0,Broncos,Jim Turner 42 yard field goal,13,17
6,4.0,Broncos,Jim Turner 42 yard field goal,16,17
