,Quarter,Tm,Detail,ATL,CHI
0,2.0,Falcons,Jim Mitchell 7 yard pass from Steve Bartkowski (Tim Mazzetti kick),7,0
1,2.0,Bears,Bob Thomas 32 yard field goal,7,3
2,3.0,Bears,Walter Payton 2 yard rush (Bob Thomas kick),7,10
3,3.0,Bears,Bob Thomas 37 yard field goal,7,13
