,Quarter,Time,Tm,Detail,SDG,KAN
0,1.0,10:11,Chiefs,Pete Stoyanovich 43 yard field goal,0,3
1,1.0,7:50,Chiefs,Reggie Tongue 7 yard defensive fumble return (Pete Stoyanovich kick),0,10
2,2.0,9:59,Chiefs,Pete Stoyanovich 39 yard field goal,0,13
3,2.0,2:35,Chiefs,Joe Horn 9 yard pass from Elvis Grbac (Pete Stoyanovich kick),0,20
4,3.0,3:27,Chiefs,Derrick Alexander 81 yard pass from Elvis Grbac (Pete Stoyanovich kick),0,27
5,3.0,2:58,Chiefs,Donnell Bennett 7 yard rush (Pete Stoyanovich kick),0,34
