,Quarter,Time,Tm,Detail,PHI,GNB
0,1.0,,Packers,Chris Jacke 29 yard field goal,0,3
1,1.0,,Packers,Robert Brooks 25 yard pass from Brett Favre (Chris Jacke kick),0,10
2,2.0,1:25,Packers,Chris Jacke 44 yard field goal,0,13
3,2.0,1:25,Packers,Dorsey Levens 1 yard rush (Chris Jacke kick),0,20
4,2.0,1:25,Packers,Chris Jacke 38 yard field goal,0,23
5,2.0,1:25,Eagles,Ricky Watters 1 yard rush (Gary Anderson kick),7,23
6,2.0,1:25,Packers,Robert Brooks 20 yard pass from Brett Favre (Chris Jacke kick),7,30
7,3.0,1:25,Packers,Edgar Bennett 25 yard pass from Brett Favre (Chris Jacke kick),7,37
8,4.0,1:25,Packers,"Safety, White and Dotson tackled Peete in end zone",7,39
9,4.0,1:25,Eagles,Charlie Garner 1 yard rush (pass failed),13,39
