,Quarter,Tm,Detail,SFO,BAL
0,2.0,49ers,Tommy Davis 18 yard field goal,3,0
1,2.0,Colts,Tom Matte 11 yard pass from Johnny Unitas (Lou Michaels kick),3,7
2,2.0,49ers,Ken Willard 5 yard rush (Tommy Davis kick),10,7
3,3.0,49ers,Dick Witcher 18 yard pass from Steve Spurrier (Tommy Davis kick),17,7
4,3.0,49ers,John Woitt 57 yard interception return (Tommy Davis kick),24,7
5,3.0,Colts,Jimmy Orr 6 yard pass from Johnny Unitas (Lou Michaels kick),24,14
6,4.0,Colts,Tom Matte 1 yard rush (Lou Michaels kick),24,21
