,Quarter,Tm,Detail,CHI,CRD
0,2.0,Bears,Ray Nolting 5 yard rush (Joe Stydahar kick),7,0
1,2.0,Bears,Bob MacLeod 5 yard pass from Sid Luckman,13,0
2,3.0,Bears,John Siegal 32 yard pass from Sid Luckman (Jack Manders kick),20,0
3,3.0,Bears,Sid Luckman 33 yard interception return (Jack Manders kick),27,0
4,3.0,Bears,Jack Manders 29 yard pass from Billy Patterson (Jack Manders kick),34,0
5,4.0,Bears,Jack Manders 1 yard rush (Gary Famiglietti kick),41,0
6,4.0,Bears,Billy Patterson unknown yard rush (Billy Patterson run),48,0
7,4.0,Cardinals,Milt Popovich 51 yard fumble return (Bill Smith kick),48,7
