,Quarter,Tm,Detail,DET,RAM
0,1.0,Rams,Drew Hill 98 yard kickoff return,0,6
1,1.0,Lions,Eddie Murray 52 yard field goal,3,6
2,1.0,Lions,Billy Sims 10 yard rush (Eddie Murray kick),10,6
3,2.0,Rams,Cullen Bryant 1 yard rush (Frank Corral kick),10,13
4,2.0,Rams,Elvis Peacock 1 yard rush (Frank Corral kick),10,20
5,2.0,Lions,Billy Sims 1 yard rush (Eddie Murray kick),17,20
6,3.0,Lions,Eddie Murray 38 yard field goal,20,20
7,3.0,Lions,Dexter Bussey 15 yard rush (Eddie Murray kick),27,20
8,4.0,Lions,Billy Sims 41 yard rush (Eddie Murray kick),34,20
9,4.0,Lions,Horace King 4 yard rush (Eddie Murray kick),41,20
