,Quarter,Time,Tm,Detail,ARI,SEA
0,1.0,7:29,Seahawks,Olindo Mare 20 yard field goal,0,3
1,2.0,5:46,Seahawks,Mike Williams 2 yard pass from Matt Hasselbeck (Olindo Mare kick),0,10
2,3.0,12:11,Seahawks,Olindo Mare 31 yard field goal,0,13
3,3.0,10:57,Seahawks,Olindo Mare 51 yard field goal,0,16
4,3.0,5:43,Cardinals,Beanie Wells 2 yard rush (Jay Feely kick),7,16
5,3.0,0:49,Seahawks,Olindo Mare 24 yard field goal,7,19
6,4.0,14:48,Cardinals,Jay Feely 24 yard field goal,10,19
7,4.0,7:28,Seahawks,Olindo Mare 26 yard field goal,10,22
