,Quarter,Time,Tm,Detail,DAL,ARI
0,1.0,0:05,Cowboys,Jon Hilbert 27 yard field goal,3,0
1,2.0,13:19,Cardinals,Ronald McKinnon 24 yard interception return (Cedric Oglesby kick),3,7
2,2.0,11:43,Cowboys,Reggie Swinton 45 yard pass from Quincy Carter (Jon Hilbert kick),10,7
3,2.0,4:52,Cardinals,Michael Pittman 1 yard rush (Cedric Oglesby kick),10,14
4,2.0,0:22,Cardinals,Cedric Oglesby 34 yard field goal,10,17
