,Quarter,Tm,Detail,RAM,DAL
0,1.0,Cowboys,Efren Herrera 44 yard field goal,0,3
1,2.0,Rams,Pat Haden 4 yard rush (Tom Dempsey kick),7,3
2,2.0,Cowboys,Scott Laidlaw 1 yard rush (Efren Herrera kick),7,10
3,4.0,Rams,Lawrence McCutcheon 1 yard rush (Tom Dempsey kick),14,10
4,4.0,Cowboys,"Safety, Jensen tackled R. Jackson in end zone",14,12
