,Quarter,Tm,Detail,RAM,ATL
0,1.0,Rams,Flipper Anderson 56 yard pass from Jim Everett (Tony Zendejas kick),7,0
1,1.0,Falcons,Norm Johnson 28 yard field goal,7,3
2,1.0,Rams,Tony Zendejas 52 yard field goal,10,3
3,2.0,Rams,Jerome Bettis 2 yard rush (Tony Zendejas kick),17,3
4,2.0,Falcons,Andre Rison 21 yard pass from Billy Joe Tolliver (Norm Johnson kick),17,10
5,3.0,Falcons,David Mims 3 yard pass from Billy Joe Tolliver (Norm Johnson kick),17,17
6,3.0,Rams,Cleveland Gary 60 yard pass from Jim Everett (Tony Zendejas kick),24,17
7,4.0,Falcons,Norm Johnson 32 yard field goal,24,20
8,4.0,Falcons,Andre Rison 42 yard pass from Billy Joe Tolliver (Norm Johnson kick),24,27
9,4.0,Falcons,Norm Johnson 34 yard field goal,24,30
