,Quarter,Time,Tm,Detail,ARI,NOR
0,1.0,12:00,Cardinals,Troy Bienemann 1 yard pass from Kurt Warner (Neil Rackers kick),7,0
1,1.0,6:18,Saints,Marques Colston 19 yard pass from Drew Brees (Martin Gramatica kick),7,7
2,2.0,13:47,Saints,Aaron Stecker 1 yard rush (Martin Gramatica kick),7,14
3,2.0,10:01,Cardinals,Larry Fitzgerald 18 yard pass from Kurt Warner (Neil Rackers kick),14,14
4,2.0,1:56,Saints,David Patten 32 yard pass from Drew Brees (Martin Gramatica kick),14,21
5,3.0,12:02,Saints,Aaron Stecker 6 yard rush (Martin Gramatica kick),14,28
6,3.0,6:14,Cardinals,Ben Patrick 3 yard pass from Kurt Warner (Neil Rackers kick),21,28
7,3.0,0:50,Saints,Martin Gramatica 31 yard field goal,21,31
8,4.0,9:11,Cardinals,Neil Rackers 26 yard field goal,24,31
