,Quarter,Time,Tm,Detail,MIN,ARI
0,1,,Vikings,Fuad Reveiz 43 yard field goal,3,0
1,2,,Vikings,Jake Reed 32 yard pass from Warren Moon (Fuad Reveiz kick),10,0
2,2,,Cardinals,Rob Moore 9 yard pass from Dave Krieg (Greg Davis kick),10,7
3,2,,Vikings,Cris Carter 5 yard pass from Warren Moon (Fuad Reveiz kick),17,7
4,2,,Cardinals,Greg Davis 39 yard field goal,17,10
5,3,,Cardinals,Greg Davis 44 yard field goal,17,13
6,3,,Cardinals,Greg Davis 44 yard field goal,17,16
7,4,,Vikings,Cris Carter 2 yard pass from Warren Moon (Fuad Reveiz kick),24,16
8,4,,Cardinals,Wendall Gaines 2 yard pass from Dave Krieg (Rob Moore pass from Dave Krieg),24,24
9,OT,,Vikings,Qadry Ismail 50 yard pass from Warren Moon,30,24
