,Quarter,Tm,Detail,SEA,RAM
0,1.0,Rams,Tom Dempsey 20 yard field goal,0,3
1,1.0,Rams,Monte Jackson 41 yard interception return (Tom Dempsey kick),0,10
2,1.0,Rams,Lawrence McCutcheon 6 yard rush (Tom Dempsey kick),0,17
3,1.0,Rams,Ron Jessie 15 yard pass from James Harris (Tom Dempsey kick),0,24
4,2.0,Seahawks,John Leypoldt 43 yard field goal,3,24
5,2.0,Rams,Harold Jackson 20 yard pass from James Harris (Tom Dempsey kick),3,31
6,3.0,Seahawks,John Leypoldt 41 yard field goal,6,31
7,4.0,Rams,Rob Scribner 1 yard rush (Tom Dempsey kick),6,38
8,4.0,Rams,Tom Geredine 23 yard pass from Pat Haden (Tom Dempsey kick),6,45
