,Quarter,Tm,Detail,CIN,DEN
0,1.0,Broncos,Floyd Little 1 yard rush (Jim Turner kick),0,7
1,1.0,Broncos,Haven Moses 22 yard rush (Jim Turner kick),0,14
2,2.0,Bengals,Horst Muhlmann 21 yard field goal,3,14
3,2.0,Broncos,Floyd Little 1 yard rush (Jim Turner kick),3,21
4,3.0,Bengals,Essex Johnson 22 yard rush (Horst Muhlmann kick),10,21
5,4.0,Broncos,Floyd Little 5 yard rush (Jim Turner kick),10,28
