,Quarter,Tm,Detail,WAS,RAI
0,1.0,Raiders,Derrick Jensen special teams fumble recovery in end zone (Chris Bahr kick),0,7
1,2.0,Raiders,Cliff Branch 12 yard pass from Jim Plunkett (Chris Bahr kick),0,14
2,2.0,Redskins,Mark Moseley 24 yard field goal,3,14
3,2.0,Raiders,Jack Squirek 5 yard interception return (Chris Bahr kick),3,21
4,3.0,Redskins,John Riggins 1 yard rush,9,21
5,3.0,Raiders,Marcus Allen 5 yard rush (Chris Bahr kick),9,28
6,3.0,Raiders,Marcus Allen 74 yard rush (Chris Bahr kick),9,35
7,4.0,Raiders,Chris Bahr 21 yard field goal,9,38
