,Quarter,Time,Tm,Detail,TAM,MIN
0,1.0,,Vikings,Greg Davis 25 yard field goal,0,3
1,2.0,,Buccaneers,Jackie Harris 5 yard pass from Trent Dilfer (Michael Husted kick),7,3
2,2.0,,Buccaneers,Mike Alstott 1 yard rush (Michael Husted kick),14,3
3,3.0,,Buccaneers,Horace Copeland 27 yard pass from Trent Dilfer (Michael Husted kick),21,3
4,3.0,,Vikings,Greg Davis 24 yard field goal,21,6
5,4.0,,Buccaneers,Warrick Dunn 52 yard rush (Michael Husted kick),28,6
6,4.0,,Vikings,Cris Carter 30 yard pass from Brad Johnson (Brad Johnson run),28,14
