,Quarter,Tm,Detail,MIN,OAK
0,1.0,Raiders,Fred Biletnikoff 13 yard pass from Ken Stabler (Errol Mann kick),0,7
1,1.0,Raiders,Charlie Phillips 31 yard defensive fumble return (Errol Mann kick),0,14
2,1.0,Raiders,Mark van Eeghen 4 yard rush (Errol Mann kick),0,21
3,2.0,Vikings,Ahmad Rashad 58 yard pass from Fran Tarkenton,6,21
4,3.0,Raiders,Errol Mann 30 yard field goal,6,24
5,4.0,Vikings,Rickey Young 9 yard pass from Fran Tarkenton (Rick Danmeier kick),13,24
6,4.0,Raiders,Errol Mann 45 yard field goal,13,27
7,4.0,Vikings,Ahmad Rashad 24 yard pass from Fran Tarkenton (Rick Danmeier kick),20,27
