,Quarter,Tm,Detail,CRD,CHI
0,1.0,Bears,Ray McLean 8 yard rush (Pete Gudauskas kick),0,7
1,2.0,Bears,Jim Fordham 1 yard rush,0,13
2,2.0,Bears,Connie Mack Berry 51 yard pass from Johnny Long (Pete Gudauskas kick),0,20
3,4.0,Bears,Connie Mack Berry 15 yard pass from Gene Ronzani (Pete Gudauskas kick),0,27
4,4.0,Cards/Steelers,Bob Thurbon 25 yard rush (Conway Baker kick),7,27
5,4.0,Bears,Al Grygo 8 yard rush (Pete Gudauskas kick),7,34
