,Quarter,Tm,Detail,HOU,CLE
0,1.0,Browns,Ron Wolfley 2 yard pass from Bernie Kosar (Matt Stover kick),0,7
1,2.0,Oilers,Al Del Greco 47 yard field goal,3,7
2,3.0,Browns,James Jones 1 yard pass from Bernie Kosar (Matt Stover kick),3,14
3,4.0,Oilers,Curtis Duncan 2 yard pass from Cody Carlson (Al Del Greco kick),10,14
4,4.0,Oilers,Ernest Givins 3 yard pass from Cody Carlson (Al Del Greco kick),17,14
