,Quarter,Tm,Detail,STL,RAM
0,1.0,Cardinals,Jim Bakken 40 yard field goal,3,0
1,1.0,Rams,Lawrence McCutcheon 4 yard rush (Tom Dempsey kick),3,7
2,2.0,Cardinals,Jim Bakken 32 yard field goal,6,7
3,2.0,Rams,Harold Jackson 65 yard pass from Pat Haden (Tom Dempsey kick),6,14
4,3.0,Rams,Cullen Bryant 90 yard kickoff return (Tom Dempsey kick),6,21
5,3.0,Cardinals,Terry Metcalf 1 yard rush (Jim Bakken kick),13,21
6,3.0,Cardinals,Terry Metcalf 2 yard rush (Jim Bakken kick),20,21
7,4.0,Rams,Pat Haden 5 yard rush (Tom Dempsey kick),20,28
8,4.0,Cardinals,J.V. Cain 25 yard pass from Jim Hart (Jim Bakken kick),27,28
9,4.0,Cardinals,Jim Bakken 25 yard field goal,30,28
