,Quarter,Tm,Detail,PHI,DEN
0,1.0,Eagles,Charlie Smith 14 yard pass from Mike Boryla (Horst Muhlmann kick),7,0
1,1.0,Broncos,Jim Turner 47 yard field goal,7,3
2,2.0,Broncos,Fran Lynch 1 yard rush (Jim Turner kick),7,10
3,3.0,Eagles,Horst Muhlmann 19 yard field goal,10,10
4,3.0,Broncos,Floyd Little 66 yard pass from Steve Ramsey,10,16
5,4.0,Broncos,Jim Turner 29 yard field goal,10,19
6,4.0,Broncos,Floyd Little 2 yard rush,10,25
